epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,354.819,1.18888,1.20584,1.72558,0.774,0.67854,0.73933,0.42326,1.47807,1.37216,1.98798,0.000992374,0.000992374,0.000992374
43,363.103,1.20781,1.20611,1.74433,0.79179,0.62308,0.71464,0.39624,1.50614,1.42409,2.03912,0.00097592,0.00097592,0.00097592
44,371.404,1.17062,1.20194,1.71623,0.79481,0.63355,0.70715,0.40899,1.48271,1.46847,1.99427,0.000959466,0.000959466,0.000959466
45,379.81,1.16977,1.18091,1.71485,0.80251,0.62104,0.71984,0.39536,1.48514,1.42255,1.99961,0.000943011,0.000943011,0.000943011
46,388.114,1.16913,1.1555,1.70526,0.71608,0.64919,0.68855,0.39394,1.4861,1.47333,2.02184,0.000926557,0.000926557,0.000926557
47,396.415,1.16582,1.17125,1.70139,0.78559,0.66978,0.74872,0.43729,1.42046,1.33535,1.91716,0.000910103,0.000910103,0.000910103
48,404.681,1.1441,1.17572,1.68452,0.76732,0.67301,0.7402,0.42393,1.44335,1.40146,1.93885,0.000893648,0.000893648,0.000893648
49,412.982,1.17301,1.16034,1.70508,0.76556,0.64141,0.71851,0.40896,1.46907,1.427,1.97476,0.000877194,0.000877194,0.000877194
50,421.355,1.11491,1.13583,1.65939,0.78764,0.64908,0.71607,0.41512,1.46402,1.41161,1.97986,0.00086074,0.00086074,0.00086074
51,429.533,1.14526,1.11925,1.6777,0.70772,0.66219,0.68523,0.3877,1.50944,1.50156,2.0664,0.000844285,0.000844285,0.000844285
52,437.913,1.12717,1.12924,1.67897,0.77668,0.6558,0.73891,0.42566,1.46595,1.34501,1.98293,0.000827831,0.000827831,0.000827831
53,446.101,1.10935,1.0913,1.64861,0.78768,0.64244,0.72795,0.41645,1.45965,1.41396,1.98423,0.000811377,0.000811377,0.000811377
